team_code,team_name,club,age,opponent_code,opponent_name,pool_key,meetings_count,first_meeting_date,latest_meeting_date,first_result,latest_result,winner_changed,first_point_margin,latest_point_margin,point_margin_shift,point_margin_slope,performance_slope,win_rate
B14LHVBC1NE,LHV Boys 14-1 Premier,LHVBC,14,B14CORE11GE,CORE Boys 14 Platinum,B14,2,2026-02-06,2026-02-07,L,L,False,-9.0,-19.0,-10.0,-10.0,0.0,0.0
B14LIFRY1GE,LI Fury 14 1,LIFRY,14,B14CAPIT1XL,CSVC 14 CASCADE,B14,1,2026-02-06,2026-02-06,W,W,False,-0.0,-0.0,0.0,0.0,0.0,1.0
B14LIFRY1GE,LI Fury 14 1,LIFRY,14,B14COQUI1PU,BORINQUEN COQUI 14M Pirito,B14,1,2026-02-06,2026-02-06,L,L,False,-29.0,-29.0,0.0,0.0,0.0,0.0
B14LIFRY1GE,LI Fury 14 1,LIFRY,14,B14CORE11GE,CORE Boys 14 Platinum,B14,1,2026-02-07,2026-02-07,L,L,False,-25.0,-25.0,0.0,0.0,0.0,0.0
B14LIFRY1GE,LI Fury 14 1,LIFRY,14,B14LCVBC1GE,Legacy Boys 14 Premier,B14,1,2026-02-07,2026-02-07,W,W,False,13.0,13.0,0.0,0.0,0.0,1.0
B14LIFRY1GE,LI Fury 14 1,LIFRY,14,B14MVPVA1NE,MVP BOS 14 Black,B14,1,2026-02-07,2026-02-07,L,L,False,-11.0,-11.0,0.0,0.0,0.0,0.0
B14LIFRY1GE,LI Fury 14 1,LIFRY,14,B14ROCVC1GE,Rockland VBC 14 1,B14,1,2026-02-06,2026-02-06,L,L,False,-17.0,-17.0,0.0,0.0,0.0,0.0
B14LIFRY1GE,LI Fury 14 1,LIFRY,14,B14SPTMC3GE,Sportime 14 3,B14,1,2026-02-08,2026-02-08,L,L,False,-11.0,-11.0,0.0,0.0,0.0,0.0
B14MVPVA1NE,MVP BOS 14 Black,MVPVA,14,B14RRJVB1NE,Boston United Boys 14-1,B14,4,2025-11-22,2026-01-31,L,W,True,-15.0,2.0,17.0,4.3,0.3,0.25
B14MVPVA1NE,MVP BOS 14 Black,MVPVA,14,B14CAPIT2XL,CSVC 14 SAWTEETH,B14,2,2026-01-17,2026-01-19,W,W,False,8.0,18.0,10.0,10.0,0.0,1.0
B14MVPVA1NE,MVP BOS 14 Black,MVPVA,14,B14117752XX,ValleyVBC Elite Boys,B14,2,2025-11-22,2026-01-17,L,L,False,-15.0,-8.0,7.0,7.0,0.0,0.0
B14MVPVA1NE,MVP BOS 14 Black,MVPVA,14,B14TACCU1GE,Accuracy 14 Champ,B14,2,2025-11-22,2026-02-06,L,L,False,-22.0,-16.0,6.0,6.0,0.0,0.0
B14MVPVA1NE,MVP BOS 14 Black,MVPVA,14,B14LHVBC1NE,LHV Boys 14-1 Premier,B14,5,2025-11-22,2026-02-08,L,L,False,-4.0,-6.0,-2.0,0.8,0.0,0.0
B14MVPVA1NE,MVP BOS 14 Black,MVPVA,14,B14117901XX,Torrimar 14 1,B14,1,2026-02-06,2026-02-06,L,L,False,-27.0,-27.0,0.0,0.0,0.0,0.0
