team_code,team_name,club,age,repeat_matchups_count,repeat_meetings_total,winner_change_rate,favorable_change_rate,avg_margin_slope,avg_performance_slope,h2h_raw_score,insufficient_h2h_samples,h2h_z_score
B16NEVBC4NE,NEVBC Boys 16 Orange,NEVBC,16,2,5,0.5,0.0,-7.5,-0.5,-0.4576726424756332,False,-0.9200649525442459
B17LHVBC2NE,LHV Boys 17-2 Boom,LHVBC,17,4,10,0.25,0.0,-9.875,-0.125,-0.4646257264057304,False,-0.933483908988851
B15CAPIT1XL,CSVC 15 PANTHERS,CAPIT,15,2,7,0.5,0.0,5.25,-0.14999999999999997,-0.46505079164531604,False,-0.9343042546072069
B16LHVBC2NE,LHV Boys 16-2 Hunters,LHVBC,16,3,6,0.3333333333333333,0.0,-8.0,-0.3333333333333333,-0.47933173453017885,False,-0.9618654565841243
B18NEVBC2NE,NEVBC Boys 18.2,NEVBC,18,2,4,0.5,0.0,-4.5,-0.5,-0.51867014902155,False,-1.0377857929365368
B18MMVBC2NE,Mayhem 18 2,MMVBC,18,2,4,0.5,0.0,-5.5,-0.5,-0.5453804760580456,False,-1.0893348204942819
B14TACCU1GE,Accuracy 14 Champ,TACCU,14,3,6,0.3333333333333333,0.0,-10.666666666666666,-0.3333333333333333,-0.5505592732941675,False,-1.099329530071445
B17SPTMC5GE,Sportime 17 Lynbrook,SPTMC,17,2,4,0.5,0.0,-6.0,-0.5,-0.5587356395762936,False,-1.1151093342731546
B16NYCIV2GE,NYC Impact 16U Travel,NYCIV,16,2,4,0.5,0.0,-6.5,-0.5,-0.5720908030945415,False,-1.1408838480520274
B18NYCVA1GE,NYC VBA 18 Riverside,NYCVA,18,2,4,0.5,0.0,-7.5,-0.5,-0.5988011301310372,False,-1.1924328756097724
B18MCJVB1NE,Mill City 18's,MCJVB,18,4,8,0.5,0.0,-10.25,-0.5,-0.6722545294814006,False,-1.334192701393572
B16SYRVB1XL,SVC 16 1 Boys,SYRVB,16,2,4,0.5,0.0,-11.5,-0.5,-0.7056424382770204,False,-1.3986289858407537
B18SJVBC2NE,South County Juniors Boys 18's Gold,SJVBC,18,2,4,0.5,0.0,-14.5,-0.5,-0.7857734193865078,False,-1.5532760685139895
B16NEVBC2NE,NEVBC Boys 16.2,NEVBC,16,1,2,1.0,0.0,-10.0,-1.0,-1.0640506250795956,False,-2.090331242917698
B15SPTMC4GE,Sportime 15 4,SPTMC,15,1,2,0.0,0.0,-43.0,0.0,-1.148544062569319,False,-2.253397555496168
B15LHVBC1NE,LHV Boys 15-1 Eclipse,LHVBC,15,1,2,1.0,0.0,-21.0,-1.0,-1.357864222481049,False,-2.6573705460528956
B18RAPTO1GE,NYC Raptors 18 Black,RAPTO,18,1,2,1.0,0.0,-24.0,-1.0,-1.4379952035905366,False,-2.8120176287261316
B16MVNER1NE,Meraki VB 16 1,MVNER,16,1,2,1.0,0.0,-26.0,-1.0,-1.4914158576635281,False,-2.915115683841622
B18VTVBC1NE,VTV 18 1,VTVBC,18,1,2,1.0,0.0,-26.0,-1.0,-1.4914158576635281,False,-2.915115683841622
B17117902XX,Torrimar 17 2,11790,17,1,2,1.0,0.0,-27.0,-1.0,-1.518126184700024,False,-2.9666647113993676
