pool_key,team_code,team_name,local_rank,local_rating,wins,losses,matches_played,local_accuracy_pct,usav_national_accuracy_pct,usav_regional_accuracy_pct,local_picks_made,usav_national_picks_made,usav_regional_picks_made,event_name,model,local_edge_vs_usav_national_pp,local_edge_vs_usav_regional_pp,recommended_seed_source
B18,B18MVPVA1NE,MVP BOS 18 Black,16,8.637891982658227,10,9,19,,,,,,,,,,,
B18,B18LHVBC1NE,LHV Boys 18-1 Rafiki,17,7.84944213467198,11,11,22,,,,,,,,,,,
B18,B18NYCVA1GE,NYC VBA 18 Riverside,18,7.484427134675277,4,8,12,,,,,,,,,,,
B18,B18315VB1XL,315VB 18 USA,19,6.99886522217646,4,0,4,,,,,,,,,,,
B18,B18CAPIT1XL,CSVC 18 HAYSTACK,20,6.46819558986809,19,4,23,,,,,,,,,,,
B18,B18MMVBC1NE,Mayhem 18 1,21,4.967959348971032,4,6,10,,,,,,,,,,,
B18,B18XTREM2GE,Xtreme 18 National Kelly,22,4.893441684290449,6,3,9,,,,,,,,,,,
B18,B18ROYAL1NO,Infinity Royals 18N,23,4.60551604881981,4,4,8,,,,,,,,,,,
B18,B18PVJVB2NE,PV Boys 18 2,24,4.104627149585706,11,6,17,,,,,,,,,,,
B18,B18MCJVB1NE,Mill City 18's,25,3.474421115384665,5,14,19,,,,,,,,,,,
B18,B18BVJVB1NE,Blast 18 Fire,26,3.259111610320833,11,11,22,,,,,,,,,,,
B18,B18DSTJN1GE,Downstate (N-B) 18 Cobras,27,2.818515315898868,3,4,7,,,,,,,,,,,
B18,B18118281XX,PW-VB Quarter-Zip Elite 67-Matcha,28,2.646640662008406,15,4,19,,,,,,,,,,,
B18,B18PINVA1GE,PVA Boys 18 National,29,2.3158992977095596,4,3,7,,,,,,,,,,,
B18,B18VTVBC1NE,VTV 18 1,30,1.4938606153164518,8,5,13,,,,,,,,,,,
B18,B18NYCIV2GE,NYC Impact 18 Travel,31,1.0294245539929934,4,3,7,,,,,,,,,,,
B18,B18HKJVB2NE,Husky 18.2,32,-0.12825317049959217,4,6,10,,,,,,,,,,,
B18,B18SPTMC2GE,Sportime 18 2,33,-0.4827833775964381,2,6,8,,,,,,,,,,,
B18,B18SJVBC2NE,South County Juniors Boys 18's Gold,34,-0.8950895960897078,11,7,18,,,,,,,,,,,
B18,B18MVPVA2NE,MVP BOS 18 Blue,35,-0.9074394572431466,11,7,18,,,,,,,,,,,
B18,B18MMVBC2NE,Mayhem 18 2,36,-1.0752739666954536,8,2,10,,,,,,,,,,,
B18,B18UNVBC1NE,Unity 18 Boys National Vikings,37,-1.0818676730823533,3,9,12,,,,,,,,,,,
B18,B18NESVC1NE,NE Storm 18 Thunder,38,-1.3929212324368159,15,7,22,,,,,,,,,,,
B18,B18TUSVA1GE,Train Up VB 18 1,39,-2.044327302127339,5,4,9,,,,,,,,,,,
B18,B18HKJVB3NE,Husky 18.3,40,-2.745975258155867,5,5,10,,,,,,,,,,,
B18,B18RAPTO1GE,NYC Raptors 18 Black,41,-3.4006417910214806,2,5,7,,,,,,,,,,,
B18,B18LHVBC2NE,LHV Boys 18-2 Blitz,42,-3.958531455887673,7,9,16,,,,,,,,,,,
B18,B18NEVBC2NE,NEVBC Boys 18.2,43,-4.320455937255216,5,6,11,,,,,,,,,,,
B18,B18CSJVB1NE,MEVBC/CT STARS 18 1,44,-4.372161215609067,1,9,10,,,,,,,,,,,
B18,B18RRJVB1NE,Boston United Boys 18 1,45,-4.6170490818220875,11,13,24,,,,,,,,,,,
B18,B18LCVBC2GE,Legacy Boys 18 Premier Anthony,46,-5.996465018449159,2,6,8,,,,,,,,,,,
B18,B18NESVC2NE,NE Storm 18 Squall,47,-6.1667823413629215,9,8,17,,,,,,,,,,,
B18,B18SLCTD1SC,Selected 18s - Bubba,48,-6.171853678210786,2,5,7,,,,,,,,,,,
B18,B18MVNER2NE,Meraki VB 18 2,49,-8.314561701725292,8,7,15,,,,,,,,,,,
B18,B18PVJVB3NE,PV Boys 18 3,50,-9.168459867417614,7,7,14,,,,,,,,,,,
B18,B18SPTMC3GE,Sportime 18 3,51,-10.201905295018587,2,6,8,,,,,,,,,,,
B18,B18SAVBC1XL,Sporting Albany Boys 18u,52,-10.249784071422704,5,10,15,,,,,,,,,,,
