team_code,team_name,club,age,gender,checkpoint_match_count,window_start_match,window_end_match,rolling_massey_rating,step_delta,step_direction,expanding_massey_rating,expanding_step_delta,expanding_step_direction
G12GRVBC2NE,GVC 12-2 Diamonds,GRVBC,12,G,9,5,9,-17.148632631921124,-0.49344930816853605,down,-12.751234653062419,-0.3709117423837043,down
G12GRVBC2NE,GVC 12-2 Diamonds,GRVBC,12,G,10,6,10,-17.151619948062944,-0.0029873161418194627,down,-12.81093817915747,-0.05970352609505092,down
G12GRVBC2NE,GVC 12-2 Diamonds,GRVBC,12,G,11,7,11,-15.329149117335067,1.8224708307278767,up,-12.67586614889882,0.1350720302586499,up
G12GRVBC2NE,GVC 12-2 Diamonds,GRVBC,12,G,12,8,12,-13.759621705815126,1.5695274115199407,up,-12.629865249849297,0.046000899049522204,up
G12HRJVB1NE,HardRock 12,HRJVB,12,G,5,1,5,-11.765055655453798,0.0,start,-11.765055655453798,0.0,start
G12HRJVB1NE,HardRock 12,HRJVB,12,G,6,2,6,-14.511257795142154,-2.7462021396883554,down,-12.759381495951791,-0.9943258404979929,down
G12HRJVB1NE,HardRock 12,HRJVB,12,G,7,3,7,-17.779084815358942,-3.2678270202167887,down,-13.46125105858971,-0.7018695626379188,down
G12HRJVB1NE,HardRock 12,HRJVB,12,G,8,4,8,-19.323809539410085,-1.544724724051143,down,-13.723214295464647,-0.26196323687493717,down
G12HRJVB1NE,HardRock 12,HRJVB,12,G,9,5,9,-17.86786452065039,1.4559450187596958,up,-13.902685676455201,-0.17947138099055415,down
G12HRJVB1NE,HardRock 12,HRJVB,12,G,10,6,10,-15.996933743187942,1.8709307774624477,up,-13.88099469932087,0.021690977134330325,up
G12HRJVB1NE,HardRock 12,HRJVB,12,G,11,7,11,-15.267366253570183,0.7295674896177591,up,-13.899374567596512,-0.018379868275641087,down
G12LCVBC1GE,Legacy 12 Premier,LCVBC,12,G,5,1,5,11.868333333348158,0.0,start,11.868333333348158,0.0,start
G12LCVBC1GE,Legacy 12 Premier,LCVBC,12,G,6,2,6,12.518333333353933,0.6500000000057753,up,11.765277777794948,-0.10305555555321,down
G12LCVBC1GE,Legacy 12 Premier,LCVBC,12,G,7,3,7,11.648725522073526,-0.8696078112804067,down,11.141946801481092,-0.6233309763138557,down
G12LCVBC1GE,Legacy 12 Premier,LCVBC,12,G,8,4,8,10.550921374385059,-1.0978041476884677,down,10.829742525657315,-0.3122042758237775,down
G12LCVBC1GE,Legacy 12 Premier,LCVBC,12,G,9,5,9,9.626747077709343,-0.9241742966757158,down,10.589859487623963,-0.23988303803335143,down
G12LDNER1NE,Lockdown VBC 12 SandPipers,LDNER,12,G,5,1,5,10.244315825045435,0.0,start,10.244315825045435,0.0,start
G12LDNER1NE,Lockdown VBC 12 SandPipers,LDNER,12,G,6,2,6,7.276905943482399,-2.967409881563036,down,9.39906424777236,-0.8452515772730749,down
G12LDNER1NE,Lockdown VBC 12 SandPipers,LDNER,12,G,7,3,7,5.249464065168344,-2.027441878314055,down,9.03233203629461,-0.3667322114777498,down
G12LDNER1NE,Lockdown VBC 12 SandPipers,LDNER,12,G,8,4,8,4.582614583629362,-0.666849481538982,down,8.669649594048563,-0.3626824422460473,down
G12LDNER2NE,Lockdown VBC 12 Puffins,LDNER,12,G,5,1,5,-17.788603100100293,0.0,start,-17.788603100100293,0.0,start
G12LDNER2NE,Lockdown VBC 12 Puffins,LDNER,12,G,6,2,6,-18.48587457445288,-0.6972714743525863,down,-18.15489547871073,-0.3662923786104386,down
G12LDNER2NE,Lockdown VBC 12 Puffins,LDNER,12,G,7,3,7,-17.22333257068518,1.2625420037676989,up,-17.56428516953702,0.5906103091737123,up
G12LDNER2NE,Lockdown VBC 12 Puffins,LDNER,12,G,8,4,8,-17.36279388165499,-0.13946131096981063,down,-17.185079509367682,0.37920566016933677,up
G12LDNER2NE,Lockdown VBC 12 Puffins,LDNER,12,G,9,5,9,-16.327801638477293,1.0349922431776974,up,-16.890286037237747,0.29479347212993545,up
G12LDNER2NE,Lockdown VBC 12 Puffins,LDNER,12,G,10,6,10,-15.566196953504473,0.76160468497282,up,-16.67740002680238,0.2128860104353656,up
G12LDNER2NE,Lockdown VBC 12 Puffins,LDNER,12,G,11,7,11,-14.388210231044088,1.1779867224603855,up,-16.44276582068044,0.2346342061219424,up
G12LDNER2NE,Lockdown VBC 12 Puffins,LDNER,12,G,12,8,12,-14.461579470273344,-0.07336923922925642,down,-16.271491128177153,0.1712746925032853,up
G12LDNER2NE,Lockdown VBC 12 Puffins,LDNER,12,G,13,9,13,-14.31548478391069,0.14609468636265355,up,-16.081389230345764,0.19010189783138998,up
G12LDNER2NE,Lockdown VBC 12 Puffins,LDNER,12,G,14,10,14,-13.876599296162407,0.4388854877482835,up,-15.813969343996556,0.26741988634920766,up
G12LDNER2NE,Lockdown VBC 12 Puffins,LDNER,12,G,15,11,15,-14.105248004920856,-0.228648708758449,down,-15.82001601950854,-0.006046675511983679,down
G12LDNER2NE,Lockdown VBC 12 Puffins,LDNER,12,G,16,12,16,-14.71437286311168,-0.6091248581908246,down,-15.902643021440202,-0.08262700193166239,down
G12LDNER2NE,Lockdown VBC 12 Puffins,LDNER,12,G,17,13,17,-14.956647383195152,-0.2422745200834715,down,-15.884772379653036,0.01787064178716591,up
G12LDNER2NE,Lockdown VBC 12 Puffins,LDNER,12,G,18,14,18,-15.510435263663407,-0.5537878804682546,down,-15.922790906267332,-0.03801852661429628,down
G12LDNER2NE,Lockdown VBC 12 Puffins,LDNER,12,G,19,15,19,-16.328826954671165,-0.8183916910077578,down,-15.949458188910928,-0.026667282643595414,down
G12LDNER2NE,Lockdown VBC 12 Puffins,LDNER,12,G,20,16,20,-16.457519276506833,-0.12869232183566837,down,-15.979391833758115,-0.02993364484718697,down
G12LDNER2NE,Lockdown VBC 12 Puffins,LDNER,12,G,21,17,21,-16.329007323427593,0.12851195307924002,up,-16.0041583314372,-0.02476649767908512,down
G12LDNER2NE,Lockdown VBC 12 Puffins,LDNER,12,G,22,18,22,-16.41540702195879,-0.08639969853119567,down,-16.005371161995253,-0.0012128305580532128,down
G12LFJVB1NE,603 United 12 Seacoast Silver,LFJVB,12,G,5,1,5,-3.141219972921166,0.0,start,-3.141219972921166,0.0,start
G12LHVBA1GE,LHVA 12 Purple Travel,LHVBA,12,G,5,1,5,9.443302045764668,0.0,start,9.443302045764668,0.0,start
G12LHVBC1NE,LHV Girls 12-1 Spark,LHVBC,12,G,5,1,5,4.174999999999977,0.0,start,4.174999999999977,0.0,start
G12LHVBC1NE,LHV Girls 12-1 Spark,LHVBC,12,G,6,2,6,2.237499999999984,-1.937499999999993,down,3.864583333333307,-0.3104166666666699,down
G12LHVBC1NE,LHV Girls 12-1 Spark,LHVBC,12,G,7,3,7,1.4893518518518551,-0.7481481481481287,down,3.7304894179894044,-0.13409391534390247,down
G12LHVBC1NE,LHV Girls 12-1 Spark,LHVBC,12,G,8,4,8,2.2030472626108812,0.7136954107590261,up,4.111279539131784,0.38079012114237987,up
G12LHVBC1NE,LHV Girls 12-1 Spark,LHVBC,12,G,9,5,9,2.9494018028306317,0.7463545402197505,up,3.920963964535522,-0.19031557459626214,down
G12LHVBC1NE,LHV Girls 12-1 Spark,LHVBC,12,G,10,6,10,3.2391402390800232,0.28973843624939155,up,3.70707011954,-0.2138938449955221,down
G12LHVBC1NE,LHV Girls 12-1 Spark,LHVBC,12,G,11,7,11,3.0767509302944958,-0.1623893087855275,down,3.506477695588393,-0.20059242395160704,down
G12LHVBC1NE,LHV Girls 12-1 Spark,LHVBC,12,G,12,8,12,2.99142645182617,-0.0853244784683258,down,3.42254651542139,-0.08393118016700285,down
G12LIBER1CH,Libero 12 Huskies,LIBER,12,G,5,1,5,23.25742857143647,0.0,start,23.25742857143647,0.0,start
G12LIBER1CH,Libero 12 Huskies,LIBER,12,G,6,2,6,26.35742857143544,3.099999999998971,up,23.54785714286284,0.2904285714263679,up
G12LIBER1CH,Libero 12 Huskies,LIBER,12,G,7,3,7,26.151522309383438,-0.2059062620520038,down,23.858230220988144,0.31037307812530557,up
G12LIBER1CH,Libero 12 Huskies,LIBER,12,G,8,4,8,25.892815060254613,-0.25870724912882537,down,24.147295126944833,0.289064905956689,up
G12LIBER1CH,Libero 12 Huskies,LIBER,12,G,9,5,9,26.12142246195801,0.2286074017033961,up,24.476345812202126,0.3290506852572932,up
G12MAJVB1NE,Mass Premier 12 1,MAJVB,12,G,5,1,5,2.9623873463385957,0.0,start,2.9623873463385957,0.0,start
G12MAJVB1NE,Mass Premier 12 1,MAJVB,12,G,6,2,6,-0.46284625526675605,-3.4252336016053517,down,1.9476281206110382,-1.0147592257275575,down
G12MCJVB1NE,Mill City 12's,MCJVB,12,G,5,1,5,8.017799321244755,0.0,start,8.017799321244755,0.0,start
G12MCJVB1NE,Mill City 12's,MCJVB,12,G,6,2,6,14.53134976337363,6.513550442128874,up,10.192791469478019,2.1749921482332635,up
G12MCJVB1NE,Mill City 12's,MCJVB,12,G,7,3,7,16.25375952269757,1.7224097593239414,up,9.913399659069713,-0.2793918104083062,down
G12MCJVB1NE,Mill City 12's,MCJVB,12,G,8,4,8,17.277957205509754,1.0241976828121828,up,9.626848253443606,-0.28655140562610626,down
G12MCJVB1NE,Mill City 12's,MCJVB,12,G,9,5,9,13.373486147683584,-3.9044710578261697,down,9.342919654695743,-0.28392859874786325,down
G12MCJVB1NE,Mill City 12's,MCJVB,12,G,10,6,10,10.139700551314286,-3.233785596369298,down,9.078749936279522,-0.2641697184162215,down
G12MCJVB1NE,Mill City 12's,MCJVB,12,G,11,7,11,7.129737894770379,-3.009962656543907,down,8.800494390065456,-0.2782555462140657,down
G12MGJVB1NE,MGA 12's Black,MGJVB,12,G,5,1,5,10.913152196161972,0.0,start,10.913152196161972,0.0,start
G12NEVBC1NE,Northeast 12.1,NEVBC,12,G,5,1,5,0.5882051282003609,0.0,start,0.5882051282003609,0.0,start
G12NEVBC1NE,Northeast 12.1,NEVBC,12,G,6,2,6,0.6757051282100625,0.0875000000097016,up,0.9797542735083787,0.3915491453080179,up
G12NEVBC1NE,Northeast 12.1,NEVBC,12,G,7,3,7,0.1516276399058595,-0.524077488304203,down,1.0487816475517864,0.06902737404340764,up
G12NSJVB1NE,NH Seacoast 12 USA,NSJVB,12,G,5,1,5,-19.697454817150494,0.0,start,-19.697454817150494,0.0,start
G12NSJVB1NE,NH Seacoast 12 USA,NSJVB,12,G,6,2,6,-17.194623055866433,2.5028317612840603,up,-19.00383365010775,0.6936211670427426,up
G12NSJVB1NE,NH Seacoast 12 USA,NSJVB,12,G,7,3,7,-16.769128986824292,0.4254940690421414,up,-18.796174449970287,0.20765920013746353,up
G12NSJVB1NE,NH Seacoast 12 USA,NSJVB,12,G,8,4,8,-16.705386347059438,0.06374263976485395,up,-18.819649693165523,-0.023475243195235862,down
