team_code,team_name
G14SRVBC1NE,SURGE 14 BLUE
G14SSVBC1NE,SSVBC 14 1
G14SUCES1GE,SA 14 1
G14SURGE1GE,LI Surge 14 Premier Blue
G14SURGE2GE,LI Surge 14 Premier White
G14SURGE3GE,LI Surge 14 2 South
G14SURGE4GE,LI Surge 14 2 North
G14TCJAG1XL,Jaguars 14u Black
G14TCJVB2NE,Nova 14 Select Gracie
G14TRICO1GE,TriCounty ATTACK 14 1
G14TRICO2GE,TriCounty ATTACK 14 2
G14TTVBC1NE,SLAM 14P Black
G14TTVBC2NE,SLAM 14P Red
G14TTVBC3NE,SLAM 14R White
G14TTVBC4NE,SLAM 14R Grey
G14TTVBC5NE,SLAM 14R Silver
G14TTVBC6NE,SLAM 14R Crimson
G14TTVBC7NE,SLAM 14R Cobalt
G14TTVBC8NE,SLAM 14R Platinum
G14TUSVA1GE,Train Up VB 14 1
G14VERSE1GE,NYC Volley Verse 14 Gold
G14VERSE2GE,NYC Volley Verse 14 Navy
G14VVVBC1NE,Vibe Girls 14u Joey
G15112721XX,X2 Volleyball 15 1
G15112722XX,X2 Volleyball 15 2
G15113231XX,EliteZ 15 GIRLS HP BLACK
G15113232XX,EliteZ 15 GIRLS CARBON
G15113233XX,EliteZ 15 GIRLS SILVER
G15117751XX,ValleyVBC Elite
G15117753XX,ValleyVBC Black
G15117754XX,ValleyVBC Blue
G15118021XX,NYCLBVC 15U BLUE ELITE
G15118022XX,NYCLBVC 15U WHITE
G15118023XX,NYCLBVC 15U BLACK
G15119491XX,Vale 15 1
G15516EL3GE,516 Elite 15 White
G15516EL4GE,516 Elite 15 Silver
G15AAVBC1NE,AVA 15 Lightning
G15AAVBC2NE,AVA 15 AVAlanche
G15ATACK1GE,Attack 15 1
G15AVVBC1NE,Avidity 15 Onyx
G15AVVBC2NE,Avidity 15 Ruby
G15AVVBC3NE,Avidity 15 Jade
G15AVVBC4NE,Avidity 15 Emerald
G15BEVNY1GE,BEV 15 Empire
G15BEVNY2GE,BEV 15 Elite
G15BEVNY3GE,BEV 15 Skyline
G15BEVNY4GE,BEV 15 High Rise
G15BVJVB1NE,Blast 15U Sabers
G15BVJVB2NE,Blast 15 U Badgers
G15CACLI1GE,CALI 15 Black
G15CACLI4GE,CALI 15 Gold Elite
G15CACLI5GE,CALI 15 Gold South
G15CACLI6GE,CALI 15 Gold
G15CACLI7GE,CALI 15 Gold North
G15CAMYV1NE,CYVB 15 1
G15CAPVC1GE,Capitals 15 National
G15CJJVB1NE,CT Juniors 15 National
G15CJJVB2NE,Ct Juniors 15 Premier
G15CJVBA5GE,CJVA 15 Red
G15CJVBA6GE,CJVA 15 Ruby
G15CMJVB1NE,CMASS EDGE 15 Black
G15CMJVB2NE,CMASS EDGE 15 Blue
G15CMJVB3NE,CMASS EDGE 15 White
G15CSJVB1NE,CT STARS 15s Nikki
G15CSJVB2NE,CT STARS 15s Leah
G15CSJVB3NE,CT STARS 15s Oxholm
G15CSJVB4NE,CT STARS 15s Comstock
G15CTRVB1NE,C3VB 15 1
G15DIGSV1GE,Digs 15 RED
G15DIGSV2GE,Digs 15 WHITE
G15DRVBC2NE,Dragons 15 Angelina
G15DRVBC3NE,Dragons 15 Brian
G15EXVBC1NE,Extreme 15 Purple
G15EYNER1NE,ENVY 15 NATIONAL
G15EYNER2NE,ENVY 15 FLOOD
G15EYNER3NE,ENVY 15 TIDALWAVE
G15EYNER4NE,ENVY 15 HAILSTORM
G15EYNER5NE,ENVY 15 LANDSLIDE
G15FGSVA1FL,Gulfside 15U Prime
G15FGSVA2FL,Gulfside 15U Select
G15FVNER1NE,Fusion 15 Diamond
G15GAJVB1NE,Gators 15 Black
G15GAJVB2NE,Gators 15 Green
G15GAJVB3NE,Gators 15 White
G15GGVOL1GE,GG 15 1 Monster
G15GRVBC1NE,GVC 15-1
G15GRVBC2NE,GVC 15-2
G15HEVBA9NE,HEVBA 15 99
G15HHVBC4NE,Hawks 15s
G15HKJVB1NE,Husky 15 National
G15HKJVB2NE,Husky 15 Northeast
G15HKJVB3NE,Husky 15 New England Red
G15HKJVB4NE,Husky 15 New England Black
G15HKJVB5NE,Husky 15 New England White
G15HRJVB1NE,HardRock 15
G15IGVBC1NE,Ignite 15 Black
G15IGVBC2NE,Ignite 15 Red
G15LCVBC1GE,Legacy 15 National
G15LCVBC2GE,Legacy 15 Premier
G15LDNER1NE,Lockdown VBC 15 Cardinals
G15LDNER2NE,Lockdown VBC 15 Owls
G15LDNER3NE,Lockdown VBC 15 Ravens
G15LEGIO1XL,TeamLVC 15 Black
G15LEGIO2XL,TeamLVC 15 Pink
G15LEGIO3XL,TeamLVC 15 White
G15LFJVB1NE,603 United 15 Seacoast Black
G15LFJVB2NE,603 United 15 Seacoast White
G15LFJVB3NE,603 United 15 Seacoast Blue
G15LHVBA1GE,LHVA 15 Purple National
G15LHVBC1NE,LHV Girls 15-1 Viragos
G15LHVBC2NE,LHV Girls 15-2 Ember
G15LHVBC3NE,LHV Girls 15-3 Prowl
G15LHVBC4NE,LHV Girls 15-4 Voltage
